UID        PID  PPID  C STIME TTY          TIME CMD
jeisoncg 16642     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
jeisoncg 18467     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
jeisoncg 18472     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
jeisoncg 18477     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
jeisoncg 18481     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
jeisoncg 18485     1  0 Sep25 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
jeisoncg 18488     1  0 Sep25 ?        00:00:00 /usr/lib/goa-daemon
jeisoncg 20442     1  0 Sep25 ?        00:00:01 /usr/bin/akonadi_control
jeisoncg 20444 20442  0 Sep25 ?        00:00:01 akonadiserver
jeisoncg 20446 20444  0 Sep25 ?        00:00:50 /usr/sbin/mysqld --defaults-file=/home/jeisoncg/.local/share/akonadi/mysql.conf --datadir=/home/jeisoncg/.local/share/akonadi/db_data/ --socket=/tmp/akonadi-jeisoncg.30ZPPG/mysql.socket
jeisoncg 20496 20442  0 Sep25 ?        00:00:00 /usr/bin/akonadi_agent_launcher akonadi_akonotes_resource akonadi_akonotes_resource_0
jeisoncg 20497 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_archivemail_agent --identifier akonadi_archivemail_agent
jeisoncg 20498 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_baloo_indexer --identifier akonadi_baloo_indexer
jeisoncg 20501 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_birthdays_resource --identifier akonadi_birthdays_resource
jeisoncg 20502 20442  0 Sep25 ?        00:00:00 /usr/bin/akonadi_agent_launcher akonadi_contacts_resource akonadi_contacts_resource_0
jeisoncg 20503 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_followupreminder_agent --identifier akonadi_followupreminder_agent
jeisoncg 20506 20442  0 Sep25 ?        00:00:00 /usr/bin/akonadi_agent_launcher akonadi_ical_resource akonadi_ical_resource_0
jeisoncg 20507 20442  0 Sep25 ?        00:00:00 /usr/bin/akonadi_agent_launcher akonadi_maildir_resource akonadi_maildir_resource_0
jeisoncg 20508 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
jeisoncg 20509 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_mailfilter_agent --identifier akonadi_mailfilter_agent
jeisoncg 20510 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_migration_agent --identifier akonadi_migration_agent
jeisoncg 20511 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_newmailnotifier_agent --identifier akonadi_newmailnotifier_agent
jeisoncg 20512 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_notes_agent --identifier akonadi_notes_agent
jeisoncg 20513 20442  0 Sep25 ?        00:00:01 /usr/bin/akonadi_sendlater_agent --identifier akonadi_sendlater_agent
jeisoncg 20544 20498  0 Sep25 ?        00:00:00 /bin/cat
jeisoncg 20555 20498  0 Sep25 ?        00:00:00 /bin/cat
jeisoncg 20556 20498  0 Sep25 ?        00:00:00 /bin/cat
jeisoncg 20557 20498  0 Sep25 ?        00:00:00 /bin/cat
jeisoncg 20558 20498  0 Sep25 ?        00:00:00 /bin/cat
jeisoncg 21056     1  0 Sep25 ?        00:00:03 http-proxy/bin/dg9_9_13 -{000}[RPM=0.00(0.0 0.0 0.0),IDLE=61557s]-P8083 -- ----
root     21754     1  0 Sep25 ?        00:00:55 /sbin/mount.ntfs /dev/sda2 /run/media/jeisoncg/A2C25DE9C25DC1E9 -o rw,nodev,nosuid,uid=1000,gid=100,dmask=0077,fmask=0177,uhelper=udisks2
jeisoncg 32592     1  0 Sep25 ?        00:00:00 /usr/lib64/kde4/libexec/kdesud
